Timestamp,Notes,Year,Age,Mileage,Full_AmpH_Capacity,SOH,SOH-R,SOH-C,0.0_19.9,20.0_to_29.9,30.0_to_39.9,40.0_49.9,50.0_59.9,60.0_69.9,70.0_79.9,80.0_100.0,<-220,-220_-210,-210_-120,-210_-20,-20_-5,-5_-0.5,-0.5_3,3_50,50_80,80_160,160_180,> 180,T < -30C,-30< T <-20,-20< T <-10,-10< T <0,0< T <10,10< T <20,20< T < 30,30< T <40,40< T <50,50< T <60,60< T
9/1/2019 11:35:50,"Bought used, Nov 1, 2015 with 10k mi & over 100k minutes above 80% SOC. Since then nearly always kept between 45 & 70%, in cool garage.",2013,6,23035,64.8,88.63,92.16,99.61,410,1465,3950,12965,48900,66870,48775,178735,2140,470,6630,102965,11815,24485,178795,31640,1215,650,685,600,0,0,0,0,0,98010,256925,7160,0,0,0
9/17/2019 8:37:07,,2015,4,20005,55.3,83.92,92.94,84.71,210,1070,2215,3645,4665,4210,3185,2450,5,0,20,1975,1850,1750,1920,14025,90,10,0,0,0,0,0,0,100,1540,19945,70,0,0,0
10/1/2019 23:11:45,Import from ZDA to EU - Slovenija,2015,4,20390,55.2,100,92.55,84.71,235,1100,2280,3685,4702,4269,3224,2497,,,,,,,,,,,,,,,,,,,,,,,
10/2/2019 10:07:28,,2016,3,19000,57,100,96.5,87.8,2575,10290,,31855,38045,42240,51045,114020,,,,,,,,,,,,,0,0,0,0,245,45135,215910,49315,0,0,0
10/4/2019 7:23:39,"Another one imported to Slovenia 
Year 2014",2014,5,26740,49.3,100,95.29,75.69,3775,8635,15185,27130,48760,58860,62445,149340,4785,4830,7685,253650,9275,30135,10260,41425,2570,2590,3960,3045,0,0,0,0,345,51215,313975,8600,0,0,0
10/9/2019 17:54:18,,2015,4,54836,46.4,54.12,80.39,71.37,11265,21900,36675,67365,94120,108555,120645,281625,175,55,1295,39555,14650,28120,327675,108520,1180,655,35,0,0,0,95,8235,167900,327675,224950,124950,0,0,0
10/19/2019 5:13:59,Import to Netherlands,2014,5,86496,48.7,84.71,90.59,74.9,12410,29275,53700,81910,90900,105465,110390,238430,2905,3020,3625,170350,32025,54415,69130,327675,2725,2535,3285,1805,0,0,0,35,5405,324180,327675,12465,0,0,0
10/22/2019 17:06:23,,2015,4,42000,49.4,100,99.61,75.69,8465,20070,44955,78800,93985,99775,110265,238500,35,10,740,32100,15000,18690,327675,38490,1145,325,5,0,0,0,0,1220,41015,141205,327675,111945,0,0,0
11/10/2019 3:04:26,,2017,2,12281,58.5,100,100,89.8,1875,6420,11350,18315,24545,27020,33955,59445,90,10,225,9900,7215,22895,93300,48740,395,140,5,0,0,0,20,435,1285,62290,110600,8295,0,0,0
11/11/2019 12:50:35,,2015,4,46406,46.7,61.18,83.14,71.76,8150,13490,21205,36390,46925,65495,85605,162725,170,45,1550,34235,14890,29565,245000,112170,1590,750,15,0,0,0,0,0,0,96140,271715,72035,100,0,0
